countyFips,countyName,year,observedEdRate,summerAvgMax,heatwaveDays,consecutiveHotDays,warmNightCount,tailPercentileTemp,elderlyPct,povertyPct,acCoverage,treeCanopy
06049,Modoc,2021,,81.70338853503185,183,2,1,101.27479999999994,28.12105926860025,19.076005961251862,68.27,20.88
06049,Modoc,2022,,80.65260714285715,167,4,4,102.02,29.71910761761646,16.52988093861981,68.33,21.83
06049,Modoc,2023,,76.3933412462908,48,0,0,96.98,30.99699282905389,19.858894286375204,70.04,19.01
06049,Modoc,2024,,80.62132142857143,138,3,1,101.0156,31.651162790697672,17.604651162790695,69.25,19.7
06051,Mono,2020,,77.43171358629131,64,0,0,98.96,15.269190691212223,11.94859326154915,68.54,19.52
06051,Mono,2021,,78.72451963746224,78,0,0,99.5,14.980061695884434,9.871341509292002,70.19,18.67
06051,Mono,2022,,76.21971640783254,64,0,1,99.032,15.697102655268932,11.180876011801196,66.22,20.32
06051,Mono,2023,,72.39532876712329,32,0,1,96.98,16.43253094388336,10.94236464424026,67.04,21.75
06051,Mono,2024,,77.41975409836066,79,0,0,100.04,17.470337693945847,8.487982963188317,66.61,20.72
06053,Monterey,2020,10.28,85.28783216783216,319,5,5,111.02,13.640678373216128,11.559967388567983,73.82,25.68
06053,Monterey,2021,4.52,82.51857938718663,304,1,2,108.6620000000001,13.65499267575344,11.684166641986728,72.33,26.57
06053,Monterey,2022,11.11,84.42941176470589,340,5,4,109.94,14.254962763562906,11.86287302135011,75.35,26.81
06053,Monterey,2023,6.6,79.93754098360655,195,0,0,107.06,14.50827608676698,12.099101951660494,74.07,25.41
06053,Monterey,2024,11.96,83.87373313343328,352,2,1,111.02,14.868845303955776,12.245751383071344,72.19,26.83
06055,Napa,2020,13.17,87.36556390977444,151,7,1,109.36400000000002,19.203013595820224,7.334093467655803,69.28,23.05
06055,Napa,2021,8.06,86.6838002773925,173,3,0,107.77999999999996,19.27663100255773,7.488742389855542,71.27,22.12
06055,Napa,2022,18.01,87.17065693430658,153,9,0,111.92,20.21632795667617,7.730157805858033,72.06,22.37
06055,Napa,2023,17.22,83.2556,88,2,0,105.98,20.59013742926435,8.25898434629235,73.8,21.48
06055,Napa,2024,28.85,87.87289256198346,160,6,0,108.99680000000004,21.09825089531323,8.29249123223276,75.17,22.07
06057,Nevada,2020,10.52,83.73024000000001,144,1,12,102.92,27.409799128921613,9.399800838890734,69.82,21.48
06057,Nevada,2021,19.52,85.42882852292021,222,3,13,104.24840000000002,27.450288960720933,10.350670976589283,67.72,22.64
06057,Nevada,2022,15.16,83.0665331010453,187,4,10,105.08,28.3858798694318,10.266609331326595,66.0,23.56
06057,Nevada,2023,22.29,79.87921121822963,101,2,1,102.55999999999992,28.882793893725843,10.487838207160427,69.6,20.46
06057,Nevada,2024,44.47,84.94548387096775,210,9,17,107.06,29.30592012177868,10.902508757720945,67.98,22.23
06059,Orange,2020,7.23,84.6535112936345,134,2,27,109.283,14.788358995629814,10.020423644745287,74.98,25.28
06059,Orange,2021,5.07,82.73726899383985,62,1,8,100.04,14.842174944225794,9.780129773795974,74.68,26.79
06059,Orange,2022,8.63,84.9898975409836,116,3,43,102.92,15.380286196860885,9.56813481366844,75.39,26.19
06059,Orange,2023,5.9,80.35593846153846,50,0,7,96.98,15.77076689054548,9.370641482170235,77.2,24.49
06059,Orange,2024,9.95,82.99588114754098,70,6,24,107.96,16.261947931341645,9.377759948449375,75.84,27.25
06061,Placer,2020,19.37,79.66519407198307,116,0,9,102.92,19.555435312494417,7.081437165485363,69.36,21.51
06061,Placer,2021,15.9,81.12153846153845,136,0,18,105.08,19.42647315964329,6.9015562161217,68.05,21.59
06061,Placer,2022,20.27,79.29670235546038,132,1,16,104.0,19.958043127533152,6.749990162515249,67.09,21.05
06061,Placer,2023,19.06,75.0245128939828,76,0,4,102.92,20.181604374022573,6.6480778789385,68.87,21.47
06061,Placer,2024,33.47,80.26268131868132,137,0,21,107.06,20.474954432240025,6.698699290956112,69.52,22.55
06063,Plumas,2020,,85.29871287128712,99,2,0,100.94,27.685204839736787,12.25854383358098,62.65,15.21
06063,Plumas,2021,,87.68681440443213,192,5,0,104.0,28.251235291121183,11.649941419183945,60.2,15.73
06063,Plumas,2022,,85.53363636363636,132,7,0,104.0,29.587786259541986,10.692111959287532,61.47,15.76
06063,Plumas,2023,,82.51145695364238,61,3,0,101.98760000000004,29.826082521548425,10.582955067067884,59.25,16.72
06063,Plumas,2024,59.82,87.92075,188,12,0,105.08,31.478144467898883,10.482417752149512,58.22,15.06
06065,Riverside,2020,24.74,96.38113628677716,1668,23,569,117.43520000000004,14.45425175481487,12.323246907948926,63.75,17.56
06065,Riverside,2021,26.5,95.58371687353235,1684,28,630,118.04,14.339167179602969,11.756334019692604,64.11,20.11
06065,Riverside,2022,33.43,95.53255088195388,1665,16,739,114.08,14.783450168698163,11.213560722901583,68.39,18.71
06065,Riverside,2023,30.31,91.56372602739728,1284,21,482,116.96,15.14529723348908,10.896527177131883,63.97,20.15
06065,Riverside,2024,44.11,96.62985074626866,1619,57,722,118.04,15.447752763656904,10.46727991608166,66.46,19.42
06067,Sacramento,2020,14.43,93.8167213114754,172,10,9,109.04,14.078434381396509,13.665871667962769,69.05,22.55
06067,Sacramento,2021,15.39,93.44934426229509,179,8,0,109.35500000000002,14.066970486083497,13.080183004223908,71.8,23.03
06067,Sacramento,2022,17.69,94.31491803278688,186,12,4,114.08,14.589500706365394,12.942412381879306,70.98,24.63
06067,Sacramento,2023,19.75,90.58459016393442,120,6,3,107.96,14.928029281959438,12.466296770234722,70.17,24.76
06067,Sacramento,2024,27.36,94.96901639344264,196,17,10,111.02,15.267822078461435,12.348196932759349,70.34,22.75
06069,San Benito,2020,,86.35893961708395,165,5,24,111.02,12.692738882480056,9.275837977480624,69.02,22.56
06069,San Benito,2021,,86.87559766763849,161,4,30,109.04,12.736660929432016,7.69789511913973,70.67,23.48
06069,San Benito,2022,,87.28042016806722,178,10,38,109.94,13.163868855497045,7.462202523435208,69.32,21.55
06069,San Benito,2023,,82.685,103,2,13,105.98,13.47341649509507,7.747971418190626,68.16,22.73
06069,San Benito,2024,19.54,87.94975409836066,200,7,42,110.68519999999994,13.722692822113242,6.635458463367513,68.08,22.37
06071,San Bernardino,2020,18.34,94.93048820625344,1949,21,689,116.96,11.562002319503248,14.59659325272412,68.66,21.59
06071,San Bernardino,2021,19.55,94.81408287292815,1972,28,975,116.06,11.556830707056562,13.946941394362506,70.77,20.45
06071,San Bernardino,2022,23.66,93.57933490288406,1696,17,892,114.08,11.920178412639304,13.494038007615464,68.64,19.69
06071,San Bernardino,2023,21.95,90.91256729377712,1395,20,663,118.04,12.295412411281388,13.311265664022931,68.22,19.21
06071,San Bernardino,2024,33.23,95.75148640483384,1863,37,942,116.96,12.60677692089223,13.099698512223362,68.83,20.16
06073,San Diego,2020,8.01,86.35303200692042,964,3,274,114.77299999999958,14.071637228976194,10.64513217628318,75.96,24.74
06073,San Diego,2021,7.55,85.30783957456238,806,1,232,113.0,14.102527153790124,10.449783804166891,74.33,24.91
